ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0021_D_Field,3,13.06,2,-3.75,-22,1,0.11,13,2,1,2,0.04,0.12,8.83,0,2,18,1,2,6,2,15,271,13.9,1352,sed_2
SED_S19S.0021_M_Field,3,13.06,2,-3.75,-22,1,0.11,13,2,1,2,0.04,0.12,10.96,0,2,18,7.3,2,6,1,21,271,13.9,1352,sed_2
SED_S19S.0021_U_Field,3,13.06,2,-3.75,-22,1,0.11,13,2,1,2,0.04,0.12,9.95,0,2,18,10.92,2,6,2,26,25,18.1,1496,sed_2
SED_S19S.0022_D_Field,3,1.49,1,-4.31,-20.2,3,0.07,14,1,1,1,0.04,0.12,5.99,2,1,18,0.25,1,7,4,12.5,25,18.1,1496,sed_2
SED_S19S.0022_M_Field,3,1.49,1,-4.31,-20.2,3,0.07,14,1,1,1,0.04,0.12,4.65,2,1,18,0.28,1,7,2,9,25,18.1,1496,sed_2
SED_S19S.0022_U_Field,3,1.49,1,-4.31,-20.2,6,0.07,14,1,1,1,0.04,0.12,5.05,2,1,18,0.12,1,7,2,15,36,17.5,1389,sed_2
SED_S19S.0023_D_Field,3,4.86,1,-8.69,-69.4,8,1.31,6,1,3,2,0.04,0.19,25.55,0,2,4,11.32,1,4,1,29.5,36,17.5,1389,sed_0
SED_S19S.0023_M_Field,2,4.86,1,-8.69,-69.4,1,1.31,6,1,3,3,0.04,0.19,11.01,0,2,4,7.24,1,4,1,12.5,36,17.5,1389,sed_2
SED_S19S.0023_U_Field,3,4.86,1,-8.69,-69.4,3,1.31,6,1,3,3,0.04,0.19,26.33,0,2,4,26.57,1,4,1,19,146,17,1436,sed_0
SED_S19S.0024_D_Field,3,2.79,1,-4.86,-28.7,3,0.08,6,2,1,1,0.04,1.71,45.55,5,1,18,1,4,4,2,29,146,17,1436,sed_1
SED_S19S.0024_M_Field,3,2.79,1,-4.86,-28.7,8,0.08,6,2,1,1,0.04,1.71,32.18,5,1,18,1,4,4,2,29.5,146,17,1436,sed_0
SED_S19S.0025_D_Field,2,100.78,1,-4.11,-25.9,11,0.19,13,2,1,3,0.04,0.12,17.98,0,1,20,14.86,1,3,3,28,1188,10.3,426,sed_0
SED_S19S.0025_M_Field,2,100.78,1,-4.11,-25.9,1,0.19,13,2,1,3,0.04,0.12,8.99,0,1,20,19.89,1,3,1,9,1188,10.3,426,sed_2
