,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n.mf
C10H14O4N2,225.0880535,10,14,4,2,0,0,0,0,CHON,Lignin,226.09533,0.119393606,1,0,0.166666667,5,1,-1,60.3,224.8367182,0.163281844,0,0.4,1.4,0.2,0,NA,Lignin,Lignin,Protein,60.3,-131.4784481,0.115696287,0.105833106,603,-1314.784481,2
C10H14O5,213.0768216,10,14,5,0,0,0,0,0,CHO,Lignin,214.084098,0.119223487,1,0,0.2,4,-1,-1,71.7,212.8388981,0.161101913,-0.4,0.5,1.4,0,0,NA,Lignin,Lignin,Other,71.7,-144.0507541,0.097177236,0.08796575,717,-1440.507541,2
C10H14O5N2,241.0829909,10,14,5,2,0,0,0,0,CHON,Lignin,242.0902674,0.017428202,1,0,0.090909091,5,0,-2,54.6,240.8137955,0.186204537,0.2,0.5,1.4,0.2,0,NA,Lignin,Lignin,Protein,54.6,-129.1876794,0.117093486,0.104773535,546,-1291.876794,2
C10H14O5S,245.0489119,10,14,5,0,0,1,0,0,CHOS,Lignin,246.0561884,0.023962293,1,0,0.076923077,4,-1,-2,66,244.7752881,0.224711917,-0.2,0.5,1.4,0,0,NA,Lignin,Lignin,Other,66,-145.7553698,0.114076155,0.093622929,660,-1457.553698,1
C10H14O6,229.0717413,10,14,6,0,0,0,0,0,CHO,Lignin,230.0790177,0.088910171,1,0,0.142857143,4,-2,-2,66,228.8159577,0.184042294,-0.2,0.6,1.4,0,0,NA,Lignin;Amino Sugar,Lignin,Other,66,-141.7599854,0.114076155,0.095932566,660,-1417.599854,1
C10H14O6N2,257.0779166,10,14,6,2,0,0,0,0,CHON,Lignin,258.085193,-0.026506923,1,0,0,5,-1,-3,48.9,256.7908611,0.209138932,0.4,0.6,1.4,0.2,0,NA,Lignin;Amino Sugar,Lignin,Protein,48.9,-126.8969108,0.118339131,0.108182685,489,-1268.969108,1
C10H14O7,245.0666847,10,14,7,0,0,0,0,0,CHO,Tannin,246.0739612,-0.034132654,1,0,0.076923077,4,-3,-3,60.3,244.7930411,0.206958913,0,0.7,1.4,0,0,NA,Amino Sugar,Tannin,Other,60.3,-139.4692168,0.115696287,0.098021263,603,-1394.692168,1
C10H14O8,261.061588,10,14,8,0,0,0,0,0,CHO,Tannin,262.0688645,0.01114475,1,0,0,4,-4,-4,54.6,260.7700843,0.229915663,0.2,0.8,1.4,0,0,NA,Other,Tannin,Other,54.6,-137.1784481,0.117093486,0.100964862,546,-1371.784481,1
C10H15O4N,212.0928177,10,15,4,1,0,0,0,0,CHON,Protein,213.1000941,0.065019844,1,0,0.142857143,4,0,-1,71.7,211.8559929,0.144007082,-0.4,0.4,1.5,0.1,0,NA,Protein,Protein,Other,71.7,-140.0553698,0.097177236,0.089455086,717,-1400.553698,1
C10H15O6N,244.0826525,10,15,6,1,0,0,0,0,CHON,AminoSugar,245.0899289,0.033834019,1,0,0,4,-2,-3,60.3,243.8101076,0.18989241,0,0.6,1.5,0.1,0,NA,Amino Sugar,Amino Sugar,Other,60.3,-135.4738324,0.115696287,0.100063795,603,-1354.738324,1
