"","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class","delGcox0PerCmol","delGcoxPerCmol","lamO20","lamO2","delGd0","delGd","n.mf"
"C10H14O7S",277.0387785,10,14,7,0,0,1,0,0,"CHOS","Tannin",278.046055,-0.113371317,1,0,0,4,-3,-4,54.6,276.7294346,0.270565425,0.2,0.7,1.4,0,0,NA,"Amino Sugar","Tannin","Other",54.6,-141.17383244059,0.117093485793403,0.0991106144174278,546,-1411.7383244059,1
"C10H14O8",261.061588,10,14,8,0,0,0,0,0,"CHO","Tannin",262.0688645,0.01114475,1,0,0,4,-4,-4,54.6,260.7700843,0.229915663,0.2,0.8,1.4,0,0,NA,"Other","Tannin","Other",54.6,-137.178448105068,0.117093485793403,0.100964862168865,546,-1371.78448105068,1
"C10H14O8S",293.0336884,10,14,8,0,0,1,0,0,"CHOS","Tannin",294.0409649,-0.091047905,1,0,0,4,-4,-5,48.9,292.7064844,0.293515613,0.4,0.8,1.4,0,0,NA,"Other","Tannin","Other",48.9,-138.883063769545,0.11833913086197,0.102013469450368,489,-1388.83063769545,1
"C10H14O9",277.0565299,10,14,9,0,0,0,0,0,"CHO","Tannin",278.0638063,-0.087315457,1,0,0,4,-5,-5,48.9,276.7471661,0.252833936,0.4,0.9,1.4,0,0,NA,"Other","Tannin","Other",48.9,-134.887679434023,0.11833913086197,0.104031912902608,489,-1348.87679434023,1
"C10H15O4N",212.0928177,10,15,4,1,0,0,0,0,"CHON","Protein",213.1000941,0.065019844,1,0,0.142857143,4,0,-1,71.7,211.8559929,0.144007082,-0.4,0.4,1.5,0.1,0,NA,"Protein","Protein","Other",71.7,-140.055369782679,0.0971772361292719,0.0894550864094207,717,-1400.55369782679,1
"C10H15O6N",244.0826525,10,15,6,1,0,0,0,0,"CHON","AminoSugar",245.0899289,0.033834019,1,0,0,4,-2,-3,60.3,243.8101076,0.18989241,0,0.6,1.5,0.1,0,NA,"Amino Sugar","Amino Sugar","Other",60.3,-135.47383244059,0.115696286540446,0.10006379479783,603,-1354.7383244059,1
"C10H15O7N",260.0775722,10,15,7,1,0,0,0,0,"CHON","Carb",261.0848486,0.01234476,1,0,0,4,-3,-4,54.6,259.7871672,0.212832789,0.2,0.7,1.5,0.1,0,NA,"Carbohydrate;Amino Sugar","Amino Sugar","Other",54.6,-133.183063769545,0.117093485793403,0.102852204446593,546,-1331.83063769545,2
"C10H15O8N",276.0725557,10,15,8,1,0,0,0,0,"CHON","Carb",277.0798321,-0.237024161,1,0,0,4,-4,-5,48.9,275.7642906,0.235709411,0.4,0.8,1.5,0.1,0,NA,"Carbohydrate","Carbohydrate","Other",48.9,-130.892295098501,0.11833913086197,0.10608796442409,489,-1308.92295098501,1
"C10H15O9N",292.0674445,10,15,9,1,0,0,0,0,"CHON","Carb",293.074721,-0.136130015,1,0,0,4,-5,-6,43.2,291.7413194,0.258680603,0.6,0.9,1.5,0.1,0,NA,"Carbohydrate","Carbohydrate","Other",43.2,-128.601526427456,0.123315729873717,0.109463197008941,432,-1286.01526427456,1
"C10H16O5",215.0924726,10,16,5,0,0,0,0,0,"CHO","Protein",216.0997491,0.113608766,1,0,0.066666667,3,-2,-2,77.4,214.8522984,0.14770157,-0.6,0.5,1.6,0,0,NA,"Protein","Protein","Other",77.4,-146.341522789246,0.0895493608691158,0.0812454135194284,774,-1463.41522789246,1
"C10H16O5S",247.0645256,10,16,5,0,0,1,0,0,"CHOS","Protein",248.0718021,0.170151177,1,0,0,3,-2,-3,71.7,246.7886512,0.211348819,-0.4,0.5,1.6,0,0,NA,"Protein","Protein","Other",71.7,-148.046138453723,0.0971772361292719,0.0864996474519725,717,-1480.46138453723,2
"C10H16O6",231.0873835,10,16,6,0,0,0,0,0,"CHO","AminoSugar",232.0946599,0.121966997,1,0,0,3,-3,-3,71.7,230.8293492,0.170650765,-0.4,0.6,1.6,0,0,NA,"Amino Sugar","Amino Sugar","Other",71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201,1
"C10H16O6S",263.0595,10,16,6,0,0,1,0,0,"CHOS","AminoSugar",264.0667765,-0.06641789,1,0,0,3,-3,-4,66,262.7657654,0.23423458,-0.2,0.6,1.6,0,0,NA,"Amino Sugar","Amino Sugar","Other",66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679,1
"C10H16O7",247.0823368,10,16,7,0,0,0,0,0,"CHO","Carb",248.0896133,-0.042088666,1,0,0,3,-4,-4,66,246.8064425,0.193557501,-0.2,0.7,1.6,0,0,NA,"Carbohydrate;Amino Sugar","Amino Sugar","Other",66,-141.759985447157,0.114076154533263,0.0959325659567618,660,-1417.59985447157,1
"C10H16O7S",279.0544147,10,16,7,0,0,1,0,0,"CHOS","Carb",280.0616912,-0.063044294,1,0,0,3,-4,-5,60.3,278.7428201,0.257179905,0,0.7,1.6,0,0,NA,"Carbohydrate;Amino Sugar","Amino Sugar","Other",60.3,-143.464601111634,0.115696286540446,0.0963119604899059,603,-1434.64601111634,1
"C10H16O8",263.0772341,10,16,8,0,0,0,0,0,"CHO","Carb",264.0845105,0.026402559,1,0,0,3,-5,-5,60.3,262.7834797,0.216520339,0,0.8,1.6,0,0,NA,"Carbohydrate","Carbohydrate","Other",60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112,1
"C10H16O8S",295.0493263,10,16,8,0,0,1,0,0,"CHOS","Carb",296.0566028,-0.04943374,1,0,0,3,-5,-6,54.6,294.7198716,0.280128365,0.2,0.8,1.6,0,0,NA,"Carbohydrate","Carbohydrate","Other",54.6,-141.17383244059,0.117093485793403,0.0991106144174278,546,-1411.7383244059,1
"C10H16O9S",311.0442627,10,16,9,0,0,1,0,0,"CHOS","Carb",312.0515392,-0.116604875,2,0,0,3,-6,-7,48.9,310.6969479,0.30305208,0.4,0.9,1.6,0,0,NA,"Carbohydrate","Carbohydrate","Other",48.9,-138.883063769545,0.11833913086197,0.102013469450368,489,-1388.83063769545,1
"C10H17O4N",214.1084656,10,17,4,1,0,0,0,0,"CHON","Protein",215.115742,0.074382538,1,0,0,3,-1,-2,77.4,213.8693901,0.130609854,-0.6,0.4,1.7,0.1,0,NA,"Protein","Protein","Other",77.4,-142.346138453723,0.0895493608691158,0.0826297647736342,774,-1423.46138453723,1
"C10H17O7N",262.0932448,10,17,7,1,0,0,0,0,"CHON","Carb",263.1005213,-0.073734065,1,0,0,3,-4,-5,60.3,261.8005892,0.19941082,0,0.7,1.7,0.1,0,NA,"Carbohydrate;Amino Sugar","Amino Sugar","Other",60.3,-135.47383244059,0.115696286540446,0.10006379479783,603,-1354.7383244059,1
"C10H17O8N",278.0881845,10,17,8,1,0,0,0,0,"CHON","Carb",279.0954609,-0.159115974,1,0,0,3,-5,-6,54.6,277.7776687,0.222331282,0.2,0.8,1.7,0.1,0,NA,"Carbohydrate","Carbohydrate","Other",54.6,-133.183063769545,0.117093485793403,0.102852204446593,546,-1331.83063769545,1
