,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SW_S19S.0092_U_1,107.0,51.0,79.0,1314.0,64.0,14.0,355.0,284.0,3.0
SW_S19S.0092_U_2,104.0,53.0,64.0,1270.0,73.0,15.0,358.0,259.0,6.0
SW_S19S.0092_U_3,107.0,51.0,74.0,1305.0,62.0,11.0,340.0,275.0,6.0
SW_S19S.0093_U_1,63.0,22.0,427.0,1700.0,31.0,10.0,193.0,430.0,17.0
SW_S19S.0093_U_2,55.0,17.0,439.0,1742.0,29.0,10.0,208.0,435.0,17.0
SW_S19S.0093_U_3,45.0,15.0,361.0,1520.0,21.0,9.0,153.0,395.0,7.0
SW_S19S.0094_U_1,67.0,30.0,422.0,1768.0,52.0,14.0,264.0,453.0,42.0
SW_S19S.0094_U_2,60.0,14.0,270.0,1427.0,47.0,17.0,239.0,355.0,28.0
SW_S19S.0094_U_3,55.0,15.0,270.0,1417.0,65.0,18.0,234.0,356.0,30.0
SW_S19S.0096_U_1,92.0,28.0,128.0,1260.0,71.0,15.0,278.0,265.0,6.0
SW_S19S.0096_U_2,86.0,28.0,121.0,1184.0,69.0,15.0,260.0,241.0,5.0
SW_S19S.0097_U_1,94.0,42.0,325.0,1850.0,70.0,12.0,341.0,330.0,34.0
SW_S19S.0097_U_2,85.0,32.0,309.0,1803.0,82.0,13.0,324.0,329.0,33.0
SW_S19S.0097_U_3,65.0,15.0,142.0,1313.0,67.0,18.0,237.0,213.0,12.0
SW_S19S.0098_U_1,77.0,24.0,155.0,1530.0,54.0,19.0,287.0,275.0,32.0
SW_S19S.0098_U_2,66.0,16.0,165.0,1486.0,47.0,15.0,243.0,242.0,35.0
SW_S19S.0098_U_3,55.0,11.0,93.0,1216.0,52.0,16.0,225.0,169.0,25.0
SW_S19S.0099_U_1,108.0,53.0,169.0,1548.0,90.0,13.0,368.0,317.0,10.0
SW_S19S.0099_U_2,120.0,69.0,282.0,1814.0,94.0,14.0,393.0,409.0,22.0
SW_S19S.0099_U_3,106.0,41.0,157.0,1426.0,78.0,19.0,339.0,248.0,9.0
SW_S19S.0100_U_1,42.0,8.0,109.0,752.0,34.0,9.0,125.0,206.0,4.0
SW_S19S.0100_U_3,85.0,11.0,221.0,1343.0,65.0,11.0,269.0,340.0,13.0
